Key,English
OVDeskKeyDesc,Keycard needed to unlock the Overseer's hidden exit door. Right click on the door with this keycard equipped to unlock it. If the desk is damaged it will have to be repaired for the key to work.
OVExitKey,Overseer Exit Key
OVExitKeyDesc,Keycard needed to unlock the Overseer's hidden exit door. Right click on the door with this keycard equipped to unlock it. If the door is damaged it will have to be repaired for the key to work.

VaultDoorKey_b,Overseer Office Key (B)
VaultDoorKey_bDesc,Keycard needed to unlock the Overseer's hidden exit door. Right click on the door with this keycard equipped to unlock it.
VaultDoorKey2_b,Containment Room Key (B)
VaultDoorKey2_bDesc,Keycard needed to unlock the Containment Room door. Right click on the door with this keycard equipped to unlock it.
OVDeskKey_b,Overseer Desk Key (B)
OVDeskKey_bDesc,Keycard needed to unlock the Overseer's hidden exit door. Right click on the door with this keycard equipped to unlock it.
OVExitKey_b,Overseer Exit Key (B)
OVExitKey_bDesc,Keycard needed to unlock the Overseer's hidden exit door. Right click on the door with this keycard equipped to unlock it.

NukaColaLight,Nuka Cola
NukaQuantumLight,Nuka Quantum
NukaQuartzLight,Nuka Quartz
NukaCherryLight,Nuka Cherry
NukaTruck,Nuka Truck

cntVTstoragePlayer,Vault Tec Container
cntVTstoragePlayerDesc,Storage container.
cntVTstorageSecurePlayer,Vault Tec Container
cntVTstorageSecurePlayerDesc,Storage container.
cntVTstorageLoot,Vault Tec Container
cntVTstorageLootDesc,Storage container.
cntVTstorageLootInsecure,Vault Tec Container
cntVTstorageLootInsecureDesc,Storage container.
cntVTstorageTallPlayer,Vault Tec Container
cntVTstorageTallPlayerDesc,Storage container.
cntVTstorageTallSecurePlayer,Vault Tec Container
cntVTstorageTallSecurePlayerDesc,Storage container.
cntVTstorageTallLoot,Vault Tec Container
cntVTstorageTallLootDesc,Storage container.
cntVTstorageTallLootInsecure,Vault Tec Container
cntVTstorageTallLootInsecureDesc,Storage container.
cntNukaCrateS0,Sealed Nuka Crate
cntNukaCrateS1,Sealed Nuka Crate
cntNukaCrateS2,Sealed Nuka Crate
cntNukaCrate0,Nuka Crate
cntNukaCrate1,Nuka Crate
cntNukaCrate2,Nuka Crate
cntNukaSafeSecure,Secure Nuka Safe
cntNukaSafeSecureDesc,Nuka Safe.
cntNukaSafe,Nuka Safe
cntNukaSafeDesc,Nuka Safe.
cntNukaVendingMachineBroken,Broken Nuka Vending Machine
cntNukaVendingMachineBrokenDesc,Broken Nuka Vending Machine.
cntNukaVendingMachine,Nuka Vending Machine
cntNukaVendingMachineDesc,Working Nuka Vending Machine.
cntSSVendingMachineBroken,Broken Sunset Sarsaparilla Vending Machine
cntSSVendingMachineBrokenDesc,Broken Sunset Sarsaparilla Vending Machine.
cntSSVendingMachine,Sunset Sarsaparilla Vending Machine
cntSSVendingMachineDesc,Working Sunset Sarsaparilla Vending Machine.
cntAmmoBox,Ammo Box
cntAmmoBoxDesc,Military ammo storage box.
cntAmmoBoxPlayer,Ammo Box
cntAmmoBoxPlayerDesc,Military ammo storage box.

Terminal,Terminal
TerminalDesc,Old terminal that surprisingly still works.
Terminaloff,Broken Terminal
TerminaloffDesc,Old terminal that no longer works.
Telephone,Old Telephone
TelephoneDesc,"Old telephone. Doesn't really matter if it works now, does it?"
Telephone2,Old Telephone
Telephone2Desc,"Old telephone. Doesn't really matter if it works now, does it?"
OVglass,OV Glass
OVglassDesc,Overseer office glass.
OVexitdoor,Locked Door
OVexitdoorDesc,OV Exit Door.
OVexitdoorunlocked,Unlocked Door
OVexitdoorunlockedDesc,OV Exit Door.
VaultDoor,Vault Door
VaultDoorDesc,Main Vault Door.
VaultMetalDoorBroken,Broken Vault Door
VaultMetalDoorBrokenDesc,Broken Vault Door.
VaultMetalDoorLocked,Vault Door
VaultMetalDoorLockedDesc,Interior Vault Door.
VaultMetalDoorUnlocked,Vault Door
VaultMetalDoorUnlockedDesc,Interior Vault Door.
VaultMetalDoorSmall,Vault Door
VaultMetalDoorSmallDesc,Small interior Vault Door.
VaultMetalDoorSmallLocked,Vault Door
VaultMetalDoorSmallLockedDesc,Small interior Vault Door.
Bookcase1case
Bookcase1Desc,Old bookcase.
Bookcase2case
Bookcase2Desc,Old bookcase.
Bookcase3case
Bookcase3Desc,Old bookcase.
BottleCarrierEmpty,Bottle Carrier
BottleCarrierEmptyDesc,Old crate for carrying bottles.
BottleCarrier,Bottle Carrier
BottleCarrierDesc,Old crate for carrying bottles.
Boxes1,Old Boxes
Boxes1Desc,Old boxes.
Boxes2,Old Boxes
Boxes2Desc,Old boxes.
Boxes3,Old Boxes
Boxes3Desc,Old boxes.
Boxes4,Old Boxes
Boxes4Desc,Old boxes.
Boxes5,Old Boxes
Boxes5Desc,Old boxes.
Boxes6,Old Boxes
Boxes6Desc,Old boxes.
Boxes7,Old Boxes
Boxes7Desc,Old boxes.
Bunkbed1,Old Bunkbed
Bunkbed1Desc,Old bunkbed.
Case1,Case
Case1Desc,Case.
Case2,Case
Case2Desc,Case.
Chair1,Old Chair
Chair1Desc,Old chair.
Chair2,Old Retro Chair
Chair2Desc,Old chair.
Cistern1,Old Cistern
Cistern1Desc,Old cistern.
Curtain1,Old Curtain
Curtain1Desc,Old curtain.
Desk1,Old Desk
Desk1Desc,Old desk.
Dresser1,Old Dresser
Dresser1Desc,Old dresser.
Dresser2,Old Dresser
Dresser2Desc,Old dresser.
Dresser3,Old Dresser
Dresser3Desc,Old dresser.
Fatman_b,Fat Man
Fatman_bDesc,Block that will give a Fat Man weapon when picked up.
ammoNuke_b,Nuke
ammoNuke_bDesc,Block that will give a Nuke when picked up.
Guitar1,Old Guitar
Guitar1Desc,Old guitar.
IndustrialFan,Industrial Fan
IndustrialFanDesc,Large industrial fan.
Lamp1,Old Lamp
Lamp1Desc,Old lamp.
MetalBox,Metal Box
MetalBoxDesc,Old metal box.
MetalBox2,Metal Box
MetalBox2Desc,Old metal box.
MetalContainer,Metal Box
MetalContainerDesc,Old metal box.
MetalContainer2,Metal Box
MetalContainer2Desc,Old metal box.
MetalContainer3,Metal Container
MetalContainer3Desc,Old metal container.
MetalContainer4,Metal Container
MetalContainer4Desc,Old metal container.
MetalShelves,Metal Shelves
MetalShelvesDesc,Old metal shelves.
MetalShelves2,Metal Shelves
MetalShelves2Desc,Old metal shelves.
NCRbobble,NCR Bobblehead
NCRbobbleDesc,Old NCR bobblehead. Might be worth something.
OldRadio,Old Radio
OldRadioDesc,Old Radio. Doesn't appear to work anymore.
OldSafeClosedInsecure,Old Safe (Unlocked Loot)
OldSafeClosedInsecureDesc,Old safe.
OldSafeClosedPlayer,Old Safe
OldSafeClosedPlayerDesc,Old safe.
OldSafeClosed,Old Safe (Locked Loot)
OldSafeClosedDesc,Old safe.
OldSafe,Old Safe
OldSafeDesc,Old safe.
OldServer1,Old Server
OldServer1Desc,Old server.
OldServer2,Old Server
OldServer2Desc,Old server.
OldServer3,Old Server
OldServer3Desc,Old server.
OldTV,Old TV
OldTVDesc,Old tv.
OldTVon,Old TV
OldTVonDesc,Old tv.
PipBoy,PipBoy 3000
PipBoyDesc,A surprisingly still functional PipBoy.
Rug1,Old Rug
Rug1Desc,Old rug.
Server1,Old Server
Server1Desc,Old server.
Server2,Old Server
Server2Desc,Old server.
Server3,Old Server
Server3Desc,Old server.
ServerEmpty,Old Empty Server
ServerEmptyDesc,Old empty server.
ServerFull,Old Full Server
ServerFullDesc,Old full server.
Toolbox1,Old Toolbox
Toolbox1Desc,Old toolbox.
Transformer1,Old Transformer
Transformer1Desc,Old transformer.
Turbine1,Old Turbine
Turbine1Desc,Old turbine.
VaultBoycutout,Vault Boy Cutout
VaultBoycutoutDesc,Vault Boy Cutout.
Vent1,Old Vent
Vent1Desc,Old vent.
Vent2,Old Vent (offset)
Vent2Desc,Old vent.
WarehouseCrates,Old Warehouse Crates
WarehouseCratesDesc,Old warehouse crates.
WeaponCase,Weapon Case
WeaponCaseDesc,Locked weapon case.
WeaponCaseInsecure,Weapon Case
WeaponCaseInsecureDesc,Weapon case.
WeaponCasePlayer,Weapon Case
WeaponCasePlayerDesc,Weapon case for player storage.
OVglass,Overseer Glass
OVglassDesc,Glass for the OV office.
Grid,Power Grid Display
GridDesc,Power Grid Display for the OV office.
DeskRound,Overseer's Desk
DeskRoundDesc,Overseer's Desk.
DeskRound2,Overseer's Desk
DeskRound2Desc,Overseer's Desk.
BloodSplatter1,Blood Splatter
BloodSplatter2,Blood Splatter
BloodSplatter3,Blood Splatter
BloodSplatter4,Blood Splatter
BloodSplatter5,Blood Splatter
BloodSplatter6,Blood Splatter
BloodSplatter7,Blood Splatter
chainLink_b,Chainlink Fence
chainLink_bDesc,Regular fence with advanced rotations.
ConsoleWall,Wall Console
ConsoleWallDesc,Wall Console.
Door1L,Metal Door (L)
Door1LDesc,Heavy Metal Door.
Door1R,Metal Door (R)
Door1RDesc,Heavy Metal Door.
Door1L2,Metal Door (L)
Door1L2Desc,Heavy Metal Door.
Door1R2,Metal Door (R)
Door1R2Desc,Heavy Metal Door.
Door2L,Metal Door (L)
Door2LDesc,Heavy Metal Door.
Door2R,Metal Door (R)
Door2RDesc,Heavy Metal Door.
Door2L2,Metal Door (L)
Door2L2Desc,Heavy Metal Door.
Door2R2,Metal Door (R)
Door2R2Desc,Heavy Metal Door.
Door3L,Security Door (L)
Door3LDesc,Heavy Security Door.
Door3R,Security Door (R)
Door3RDesc,Heavy Security Door.
Door3L2,Security Door (L)
Door3L2Desc,Heavy Security Door.
Door3R2,Security Door (R)
Door3R2Desc,Heavy Security Door.
Door4L,Security Door (L)
Door4LDesc,Heavy Security Door.
Door4R,Security Door (R)
Door4RDesc,Heavy Security Door.
Door4L2,Security Door (L)
Door4L2Desc,Heavy Security Door.
Door4R2,Security Door (R)
Door4R2Desc,Heavy Security Door.
rollUpDoor3x3WhitePoweredWL,"White Roll Up Door 3x3 (Powered)"
rollUpDoor3x3BrownPoweredWL,"Brown Roll Up Door 3x3 (Powered)"
rollUpDoor3x3RedPoweredWL,"Red Roll Up Door 3x3 (Powered)"
rollUpDoor3x3OrangePoweredWL,"Orange Roll Up Door 3x3 (Powered)"
rollUpDoor3x3YellowPoweredWL,"Yellow Roll Up Door 3x3 (Powered)"
rollUpDoor3x3GreenPoweredWL,"Green Roll Up Door 3x3 (Powered)"
rollUpDoor3x3BluePoweredWL,"Blue Roll Up Door 3x3 (Powered)"
rollUpDoor3x3PurplePoweredWL,"Purple Roll Up Door 3x3 (Powered)"
rollUpDoor3x3GreyPoweredWL,"Grey Roll Up Door 3x3 (Powered)"
rollUpDoor3x3BlackPoweredWL,"Black Roll Up Door 3x3 (Powered)"
rollUpDoor3x3PinkPoweredWL,"Pink Roll Up Door 3x3 (Powered)"
rollUpDoor5x4WhitePoweredWL,"White Roll Up Door 5x4 (Powered)"
rollUpDoor5x4BrownPoweredWL,"Brown Roll Up Door 5x4 (Powered)"
rollUpDoor5x4RedPoweredWL,"Red Roll Up Door 5x4 (Powered)"
rollUpDoor5x4OrangePoweredWL,"Orange Roll Up Door 5x4 (Powered)"
rollUpDoor5x4YellowPoweredWL,"Yellow Roll Up Door 5x4 (Powered)"
rollUpDoor5x4GreenPoweredWL,"Green Roll Up Door 5x4 (Powered)"
rollUpDoor5x4BluePoweredWL,"Blue Roll Up Door 5x4 (Powered)"
rollUpDoor5x4PurplePoweredWL,"Purple Roll Up Door 5x4 (Powered)"
rollUpDoor5x4GreyPoweredWL,"Grey Roll Up Door 5x4 (Powered)"
rollUpDoor5x4BlackPoweredWL,"Black Roll Up Door 5x4 (Powered)"
rollUpDoor5x4PinkPoweredWL,"Pink Roll Up Door 5x4 (Powered)"
rollUpDoor7x4WhitePoweredWL,"White Roll Up Door 7x4 (Powered)"
rollUpDoor7x4BrownPoweredWL,"Brown Roll Up Door 7x4 (Powered)"
rollUpDoor7x4RedPoweredWL,"Red Roll Up Door 7x4 (Powered)"
rollUpDoor7x4OrangePoweredWL,"Orange Roll Up Door 7x4 (Powered)"
rollUpDoor7x4YellowPoweredWL,"Yellow Roll Up Door 7x4 (Powered)"
rollUpDoor7x4GreenPoweredWL,"Green Roll Up Door 7x4 (Powered)"
rollUpDoor7x4BluePoweredWL,"Blue Roll Up Door 7x4 (Powered)"
rollUpDoor7x4PurplePoweredWL,"Purple Roll Up Door 7x4 (Powered)"
rollUpDoor7x4GreyPoweredWL,"Grey Roll Up Door 7x4 (Powered)"
rollUpDoor7x4BlackPoweredWL,"Black Roll Up Door 7x4 (Powered)"
rollUpDoor7x4PinkPoweredWL,"Pink Roll Up Door 7x4 (Powered)"
rollUpDoor3x3PoweredWLVariantHelper,Roll Up Door 3x3 (Powered)
rollUpDoor5x4PoweredWLVariantHelper,Roll Up Door 5x4 (Powered)
rollUpDoor7x4PoweredWLVariantHelper,Roll Up Door 7x4 (Powered)
JBWireless,Fusebox (Wireless)
JBWirelessDesc,"This fusebox acts like a relay, and hides the wires to keep things neat."
JBWireless2,Electrical Box (Wireless)
JBWireless2Desc,"This electrical box acts like a relay, and hides the wires to keep things neat."
EspressoMachine,Espresso
EspressoMachineDesc,Heavy Security Door.
MedicalDivider,Medical Divider
MedicalDividerDesc,Medical Divider.
MetalDrawer1,Metal Drawer
MetalDrawer1Desc,Old metal drawer.
MetalDrawer2,Metal Drawer
MetalDrawer2Desc,Old metal drawer.
Microscope,Microscope
MicroscopeDesc,An old icroscope.
OldControlPanel,Old Control Panel
OldControlPanelDesc,Old control panel.
OldProjector,Old Projector
OldProjectorDesc,Old projector.
Stepladder,Stepladder
StepladderDesc,Used stepladder.
WelcomeMat,Welcome Mat
WelcomeMatDesc,Welcome Mat.
windowStoreThreeSidedBulletproofCTR,Bulletproof Window
windowStoreThreeSidedBulletproofCTRDesc,Three-sided centered bulletproof window.
windowStoreTwoSidedBulletproofCTR,Bulletproof Window
windowStoreTwoSidedBulletproofCTRDesc,Two-sided centered bulletproof window.
windowStoreThreeSidedCTR,Window Frame
windowStoreThreeSidedCTRDesc,Three-sided centered window frame.
windowStoreTwoSidedCTR,Window Frame
windowStoreTwoSidedCTRDesc,Two-sided centered window frame.

cntAmb1,Old Wrecked Ambulance
cntAmb1Desc,Old broken down and abandoned vehicle.
cntbCar1,Old Burned Car
cntbCar1Desc,Old burned abandoned vehicle.
cntbCar2,Old Burned Car
cntbCar2Desc,Old burned abandoned vehicle.
cntbCar3,Old Burned Car
cntbCar3Desc,Old burned abandoned vehicle.
cntbCar4,Old Burned Car
cntbCar4Desc,Old burned abandoned vehicle.
cntbCar5,Old Burned Car
cntbCar5Desc,Old burned abandoned vehicle.
cntbCar6,Old Burned Car
cntbCar6Desc,Old burned abandoned vehicle.
cntbCar7,Old Burned Car
cntbCar7Desc,Old burned abandoned vehicle.
cntbCar8,Old Burned Car
cntbCar8Desc,Old burned abandoned vehicle.
cntbCar9,Old Burned Car
cntbCar9Desc,Old burned abandoned vehicle.
cntCar1,Old Car
cntCar1Desc,Old abandoned vehicle.
cntCar2,Old Car
cntCar2Desc,Old abandoned vehicle.
cntCar3,Old Car
cntCar3Desc,Old abandoned vehicle.
cntCar4,Old Car
cntCar4Desc,Old abandoned vehicle.
cntCar5,Old Car
cntCar5Desc,Old abandoned vehicle.
cntCar6,Old Car
cntCar6Desc,Old abandoned vehicle.
cntCar7,Old Car
cntCar7Desc,Old abandoned vehicle.
cntCar7_2,Old Car
cntCar7_2Desc,Old abandoned vehicle.
cntCar7_3,Old Car
cntCar7_3Desc,Old abandoned vehicle.
cntCar8,Old Car
cntCar8Desc,Old abandoned vehicle.
cntCar8_2,Old Car
cntCar8_2Desc,Old abandoned vehicle.
cntCar8_3,Old Car
cntCar8_3Desc,Old abandoned vehicle.
cntHatchback1,Old Car
cntHatchback1Desc,Old abandoned vehicle.
cntLada1,Old Car
cntLada1Desc,Old abandoned vehicle.
cntRV1,Old RV
cntRV1Desc,Old abandoned vehicle.
cntSUV1,Old SUV
cntSUV1Desc,Old abandoned vehicle.
cntSUV1_2,Old SUV
cntSUV1_2Desc,Old abandoned vehicle.
cntSUV1_3,Old SUV
cntSUV1_3Desc,Old abandoned vehicle.
cntTruck1,Old Truck
cntTruck1Desc,Old abandoned vehicle.
cntTruck2,Old Truck
cntTruck2Desc,Old abandoned vehicle.
cntVan,Old Van
cntVanDesc,Old abandoned vehicle.
cntVan1,Old Van
cntVan1Desc,Old abandoned vehicle.
cntVan2_1,Old Van
cntVan2_1Desc,Old abandoned vehicle.
cntVan2_2,Old Van
cntVan2_2Desc,Old abandoned vehicle.
cntVan2_3,Old Van
cntVan2_3Desc,Old abandoned vehicle.
cntWagon1,Old Station Wagon
cntWagon1Desc,Old abandoned vehicle.
cntZuk1,Old Van
cntZuk1Desc,Old abandoned vehicle.

mineBottlecapMine,Bottlecap Mine (Ammo)
mineBottlecapMineDesc,Homemade mine using an old lunchbox and some bottlecaps.
mineBottlecapMine,Bottlecap Mine
cntLunchbox,Old Lunchbox
cntLunchboxDesc,Some old lunchbox. Might be useful for something...
resourceBottlecaps,Bottlecaps
resourceBottlecapsDesc,Bottlecaps left over from various Nuka Colas. Might be useful for something...
resourceBottlecapStar,Sunset Sarsaparilla Star Bottlecap
resourceBottlecapStarDesc,Very rare Sunset Sarsaparilla cap. Probably worth some coin or collect 100 and craft a reward...
drugRadBGone,Rad-B-Gone
drugRadBGoneDesc,Provides moderate relief from radiation poisoning.
drugRadZ,Rad Z
drugRadZDesc,Provides 50% chance on ignoring radiation poisoning. Take 50% less damage from radiation emitting sources.
drugAntivenom,Antivenom
drugAntivenomDesc,Stops any current venom debuffs and prevents any new ones.
drugAddFree,Add-Free
drugAddFreeDesc,Add-Free will cure any drug addiction. Usually takes a bit of time to kick in.
drugBeZerk,BeZerk
drugBeZerkDesc,BeZerk increases damage output by 25% and reduces incoming damage by 25%.
drugBraintats,Braintats
drugBraintatsDesc,Braintats raise your Intellect and Perception by 2 levels.
drugBuffin,Buffin
drugBuffinDesc,Buffin raises your Strength and Fortitude by 2 levels.
drugCalmZ,Calm-Z
drugCalmZDesc,"Calm-Z raises your Perception and Agility by 3 levels, and also increase sneak damage."
drugHGL,Happy-Go-Lucky
drugHGLDesc,Happy-Go-Lucky raises your Luck by 3 levels.
drugMedZ,Med-Z
drugMedZDesc,Med-Z reduces damage taken by 30%.
drugVitaminsDesc,"These vitamins cure Fatigue and prevent you from catching ailments like Infection, Dysentery or Fatigue. They also speed up recovery of colds and pneumonia, and prevent you from getting sick in the first place."
drugHerbalAntibioticsDesc,Herbal Antibiotics can cure infections and help prevent or cure sicknesses like colds and pneumonia.\n\nCan be crafted in a cooking pot at a campfire.
drugAntibioticsDesc,Antibiotics can cure infections and help prevent or cure sicknesses like colds and pneumonia.\n\nCan be crafted in a beaker at a campfire.

resourceNuclearMaterials,Nuclear Material
resourceNuclearMaterialsDesc,Probably shouldn't lick it...
drugAntivenomSchematic,Antivenom Schematic
drugRadBGoneSchematic,Rad-B-Gone Schematic
drugRadZSchematic,Rad Z Schematic
foodSnowberryPieSchematic,Snowberry Pie Schematic
foodSuperHoboStewSchematic,Super Hobo Stew Schematic
foodSuperVegetableStewSchematic,Super Vegetable Stew Schematic
drinkSnowberrySmoothieSchematic,Snowberry Smoothie Schematic
plantedSnowberry1Schematic,Snowberry (Seed) Recipe

gun10mmPistol,10mm Pistol
gun10mmPistolDesc,Civilian pistol. Slightly stronger than regular 9mm.
gun10mmRev,10mm Revolver
gun10mmRevDesc,Civilian revolver. Slightly stronger than regular 9mm. 6 round capacity with a bit more stopping power than the 10mm Pistol.
gun10mmSMG,10mm SMG
gun10mmSMGDesc,Civilian submachine gun. Slightly stronger than regular 9mm. High capacity magazine.
gunLaserPistolScrap,Scrap Laser Pistol
gunLaserPistolScrapDesc,Homemade laser weapon. Looks...safe. Crafting unlocked and damage scales with the Advanced Engineering perk.
gunLaserPistol,Laser Pistol
gunLaserPistolDesc,Experimental military-tech. Scales with the Advanced Engineering perk.
gunLaserRifle,Laser Rifle
gunLaserRifleDesc,Experimental military-tech. Scales with the Advanced Engineering perk.
gunLaserShotgun,Laser Shotgun
gunLaserShotgunDesc,Experimental military-tech. Scales with the Advanced Engineering perk.
gunPlasmaPistol,Plasma Pistol
gunPlasmaPistolDesc,Experimental military-tech. Scales with the Advanced Engineering perk.
gunPlasmaRifle,Plasma Rifle
gunPlasmaRifleDesc,Experimental military-tech. Scales with the Advanced Engineering perk.
gunFlareGun,Flare Gun
gunFlareGunDesc,Emergency flare gun. Can be used to show your location to others or to simply provide some light.
gunPipePistol,Pipe Pistol
gunPipePistolDesc,Weak homemade pistol. Uses 9mm. Low durability. Can break and disappear!
gunPipeRifle,Pipe Rifle
gunPipeRifleDesc,Weak homemade rifle. Uses 9mm. Low durability. Can break and disappear!
gunPipeShotgunSMSB,Short Pipe Shotgun
gunPipeShotgunSMSBDesc,Homemade shotgun. A bit unwieldy. Short range and low durability. Can break and disappear!
gunPipeShotgunEMSB,Short Pipe Shotgun (Extended Mag)
gunPipeShotgunEMSBDesc,Homemade shotgun. A bit unwieldy. Short range and low durability. Custom cylinder mag allows for 4 shots before reloading. Can break and disappear!
gunTripleBarrelShotgun,Triple Barrel Shotgun
gunTripleBarrelShotgunDesc,Custom-made triple barrel shotgun.
gunHenryShotgun,Henry Shotgun
gunHenryShotgunDesc,"An old, single-shot shotgun."
gunAntiqueShotgun,Antique Shotgun
gunAntiqueShotgunDesc,"Custom-made, single-shot shotgun."
gunCombatShotgun,Combat Shotgun
gunCombatShotgunDesc,Military tier shotgun.
gunHeavySniper,Heavy Sniper
gunHeavySniperDesc,Long range sniper rifle.
gunServiceRifle,Service Rifle
gunServiceRifleDesc,Standard edition infantry service rifle.
gunLAR,Lever Action Rifle
gunLARDesc,.44 Magnum and lever action. What more could you want?
gunRailwayRifle,Railway Rifle
gunRailwayRifleDesc,Custom made rifle that launches rail spikes. Fairly low durability due to the force of firing it.
gunFatMan,Fat Man
gunFatManDesc,Left over military launcher that makes use of any mini nukes you can find. Can maybe use some other round object as ammo if you find the right one...
gunIncinerator,Incinerator
gunIncineratorDesc,Semi-auto molotovs!
gunMiniG,Minigun
gunMiniGDesc,"Old, well-used minigun. Not the most modern tech, but will certainly still mow down anything in front of it."
gunBAR1,Browning Automatic Rifle
